Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"P73747",218400,264620,0,249270,365560,239030,357500,299210
"Q55697;P73980;P73748;Q6ZE47;P72947;P73968;Q55645;P75027;P73976;P73531;Q57248;P74807",0,0,0,0,0,0,0,0
"P73754",0,67125,0,47990,72650,40885,0,0
"P73755",0,0,0,0,61098,0,151220,0
"P73758",90961,78763,0,89300,140910,96246,94796,90615
"P73761",0,120480,0,0,0,145110,0,0
"P73762",467540,597010,0,579510,576430,547200,389910,561890
"P73768",0,0,0,29609,25869,21748,0,20892
"P73769",28476,23115,0,26193,30683,27003,0,25463
"P73775",0,0,0,0,0,0,0,0
"P73784",0,0,0,0,0,0,0,0
"P73785",182830,192820,0,180720,176000,192140,120500,165020
"P73789",3739300,4498000,326440,3114600,2294900,3791400,385360,3192900
"P73790",0,0,0,412970,115340,234830,0,0
"P73791",0,0,0,0,0,0,0,0
"P73796",833820,877560,0,775470,473180,744780,501240,632750
"P73799",828100,1035800,0,900310,904740,800280,1220400,948700
"P73800",354350,452750,0,395230,329360,395940,598330,384370
"P73801",608890,703630,0,656630,999810,799890,202000,832860
"P73803",122520,104630,0,165010,155240,145570,198570,161020
"P73804",350940,267190,0,231740,194030,234710,228720,299660
"P73807",267410,259870,0,272040,203160,0,282700,230840
"P73808",0,0,0,0,0,0,0,0
"P73810",475790,490620,0,535470,476010,455450,526940,484900
"P73813",0,0,0,0,0,0,0,0
"P73817",423180,298580,0,530360,3315100,3491300,1816700,3188300
"P73819",0,606440,0,611360,500990,571270,300990,644590
"P73821",405040,393730,0,444210,569140,532860,369540,433550
"P73824",2577200,3593100,0,3434600,2461700,2812300,628300,2866000
"P73825",0,0,0,0,53658,73648,0,73353
"P73826",0,0,0,96750,118030,101440,0,103070
"P73831",0,150350,0,131910,138760,161430,0,146460
"P73832",117880,109490,0,97222,120470,113000,124880,100620
"P73833",89636,50749,0,68128,85199,107960,0,83448
"P73835",0,0,0,0,0,0,0,0
"P73836",164720,201850,0,96654,165440,125530,311280,176800
"P73837",57520,0,0,0,81726,81367,0,59776
"P73841",0,155410,0,142860,0,0,0,160600
"P73842",0,0,0,0,0,0,0,0
"P73846",0,0,0,0,0,0,0,0
"P73848",0,0,0,0,0,0,0,0
"P73849",262140,316370,0,318590,344160,392800,365010,294730
"P73851",539780,543090,0,460930,618920,554380,1126400,495450
"P73852",0,0,0,0,56234,53131,0,0
"P73853",876000,950770,0,760840,826560,829510,1043600,992180
"P73859",0,60802,0,0,0,68108,0,38022
"P73862",0,0,0,0,0,0,0,0
"P73872",57216,60400,0,65415,90537,63412,193600,61835
"P73873",117780,119780,0,131640,120590,89891,0,108950
"P73874",127790,89669,0,94542,60305,103930,157010,127060
"P73875",1748200,1567900,0,1729200,809860,1446800,1988700,1079700
"P73876",137470,0,0,71805,126640,98434,0,185360
"P73877",0,0,0,0,0,0,0,0
"P73882",0,0,0,0,0,0,0,0
"P73885",0,0,0,0,0,0,0,0
"P73886",361650,417910,0,434020,572340,516390,614380,435480
"P73889",47498,113380,0,62632,0,0,0,0
"P73896",0,0,0,0,0,0,0,0
"P73902",0,0,0,0,0,0,0,0
"P73904",87300,106210,0,55676,69221,0,0,0
"P73906",40946,0,0,0,51694,44014,0,48314
"P73909",0,40471,0,32243,35848,35978,0,47184
"P73910",0,0,0,0,0,0,0,0
"P73911",81237,0,0,72467,71416,64688,100260,72252
"P73913",90412,69938,0,166580,275080,215990,302390,156660
"P73918",0,0,0,0,0,0,0,0
"P73920",0,75662,0,151680,0,117290,0,116760
"P73921",509550,540100,0,594050,513880,467650,489300,510880
"P73922",1545600,718310,0,861240,1277200,978350,1504600,1061700
"P73925",169850,106950,0,312710,228210,287880,453360,216990
"P73928",0,0,0,0,0,0,0,0
"P73929",0,0,0,0,0,0,0,0
"P73930",0,0,0,161680,0,0,211290,0
"P73934",0,0,0,0,0,0,0,0
"P73935",233810,156440,0,322260,317380,268670,105420,194350
"P73940",170540,237310,0,201470,159470,160680,0,209520
"P73942",64262,61919,0,72565,109030,70167,132920,77461
"P73943",200680,240950,0,149340,158890,181670,204320,145340
"P73944",0,0,0,0,0,0,0,0
"P73945",403560,513650,0,454300,426700,422020,733900,327220
"P73946",642690,542470,0,659390,766890,778200,1142600,701980
"P73947",0,0,0,0,0,0,0,0
"P73950",0,0,0,0,0,0,0,0
"P73951",0,219790,0,176710,235400,189000,0,204300
"P73952",247660,417250,0,389620,317010,354180,0,305900
"P73953",0,0,0,0,0,0,0,0
"P73954",144620,143690,0,217250,262270,228770,0,232670
"P73956",538110,452490,0,583660,426480,440560,221590,409340
"P73959",86126,0,0,95101,64616,0,55560,78163
"P73960",569730,377000,0,381110,488710,505030,664740,418820
"P73961",0,120370,0,39866,0,53154,0,0
"P73963",0,0,0,0,0,0,0,0
"P73971",95611,103560,0,98373,115690,132580,0,108740
"P73973",0,0,0,0,0,0,0,0
"P73979",0,0,0,0,0,0,0,0
"P73989",185430,201590,0,249320,215440,203170,339540,244720
"P73990",0,0,0,72322,91612,0,0,84938
"P73991",0,0,0,0,0,0,0,0
"P73997",61350,0,0,72849,78978,88526,151640,71476
"P73998",0,0,0,0,0,0,0,0
"P73999",0,0,0,0,0,0,0,0
"P74001",107400,160280,0,151720,121670,152080,309100,157890
"P74002",316360,298660,0,327120,349930,301590,188620,332430
"P74006",0,0,0,0,0,0,0,0
"P74007",0,0,0,0,0,0,0,0
"P74008",1785200,1451900,601020,1368000,1581200,1551700,1248700,1331800
"P74009",0,0,0,0,0,0,0,0
"P74016",323900,312870,0,357910,258560,247670,285960,302140
"P74018",0,0,0,0,0,0,0,0
"P74020",0,0,0,0,0,0,0,0
"P74021",0,0,0,0,63632,0,221860,0
"P74022",0,29033,0,0,51991,42129,0,47462
"P74024",59078,45285,0,52673,51967,40979,0,49874
"P74025",0,0,0,0,0,0,0,0
"P74027",0,0,0,38903,0,53076,0,0
"P74029",0,0,0,0,96266,123560,118560,0
