Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"5.21_290.14561_polar",4404,4286,2378,3970,2272,2158,1872,2194
"5.87_362.05047_polar",19930,25434,12456,29386,12708,16106,18034,18818
"6.08_332.56217_polar",7544,7680,5282,6866,7858,7180,7680,8778
"6.08_127.03896_polar",6004,3626,4726,5524,8272,4830,3800,4642
"8.17_444.03144_polar",0,0,0,0,0,1138,1164,1054
"0.89_117.01923_polar",7086,13038,6206,13478,13728,10262,14806,11454
"5.11_321.04907_polar",1006,1516,718,2052,1262,1468,1892,1940
"6.08_662.10123_polar",17588,16384,12300,17002,17778,18768,19086,17136
"0.96_144.06655_polar",6800,6980,7170,9400,10070,9928,11096,9324
"3.86_259.12965_polar",5798,8692,11180,6598,9082,13184,16178,12630
"4.32_191.01958_polar",1342,1382,1084,2028,2078,1398,1596,1752
"4.84_341.10886_polar",3542,4298,4380,6148,7216,5868,7310,6874
"6.93_426.02166_polar",6428,0,11964,23824,0,0,0,13462
"7.33_426.02164_polar",14460,16638,13180,22004,0,26778,22482,21026
"7.47_426.02202_polar",15780,0,0,0,23830,0,0,19312
"0.9_708.54052_polar",4626,3366,5612,7632,14376,8274,10074,10524
"5.19_399.14435_polar",16830,12776,17006,12868,19802,14998,16954,12794
"5.32_182.0128_polar",5164,5494,3658,8504,5650,5994,6962,5780
"6.1_330.06027_polar",0,644,382,1290,640,428,796,386
"0.69_301.14087_polar",2044,1704,1006,1854,9914,8158,5846,5926
"0.92_136.06178_polar",2206,3222,5322,2718,4044,2736,4164,3120
"3.62_708.54022_polar",1462,946,1686,3350,4324,3916,3928,5996
"4.04_148.0603_polar",4340,4556,2406,4800,5732,5902,5818,5960
"4.04_279.10075_polar",3792,3918,6088,3658,11164,9492,11410,12896
"4.11_275.08827_polar",1232,1152,1524,1642,1228,1244,1310,1152
"4.47_298.09694_polar",2872,1824,360,1896,1394,700,924,1366
"4.68_166.0532_polar",1018,1560,1788,1542,2212,1992,1880,1796
"5.19_136.06176_polar",20228,14570,14228,14650,20632,16308,16680,14776
"5.64_307.08352_polar",603902,593596,437778,583284,487158,438902,485976,436176
"5.71_200.03177_polar",1746,2594,1680,3942,3330,4384,4344,5080
"5.88_187.00016_polar",0,0,344,1978,0,2474,1774,2392
